pmid,year,pub_date,title,abstract,journal,journal_abbr,pub_type,first_author,first_affiliation,doi,scopus_eid,cited_by,sjr_quartile,sjr_quartile
2-s2.0-85101779797,2021,2021 Feb,"Tort Law, Corrective Justice and the Problem of Autonomous-Machine-Caused Harm",,Canadian Journal of Law and Jurisprudence,,Article,Huberman P.,"Yale University, New Haven, United States",10.1017/cjlj.2020.3,2-s2.0-85101779797,9,Q3,Q3
2-s2.0-85121827984,2021,2021 Feb,PROPOSALS for LEGISLATIVE REFORM of the EUROPEAN WHITE PAPER on ARTIFICIAL INTELLIGENCE in the FIELD of SAFETY and CIVIL LIABILITY,,Actualidad Juridica Iberoamericana,,Article,Zurita Martín I.,"Universidad de Cádiz, Cadiz, Spain",,2-s2.0-85121827984,4,Q3,Q3
2-s2.0-85121801782,2021,2021 Feb,BETWEEN PEOPLE and THINGS: ANIMALS and ROBOTS,,Actualidad Juridica Iberoamericana,,Article,Cerdeira Bravo De Mansilla G.,"Universidad de Sevilla, Sevilla, Spain",,2-s2.0-85121801782,5,Q3,Q3
2-s2.0-85103594328,2021,2021 Jan,A study on the possibility of applying artificial intelligence in judicial decisions,,Revista Direito Gv,,Article,Cárdenas E.R.,"Universidad del Rosario, Bogota, Colombia",10.1590/2317-6172202101,2-s2.0-85103594328,8,Q3,Q3
2-s2.0-85114256305,2021,2021 Jan,Legal implications of the use of artificial intelligence in the educational process: May the machine replace a human teacher?,,Revista Juridica,,Article,Cardin V.S.G.,,10.21902/revistajur.2316-753X.v1i63.5139,2-s2.0-85114256305,2,Q3,Q3
2-s2.0-85120574268,2021,2021 Jan,The use of AI tools in criminal courts: Justice done and seen to be done?,,Revue Internationale De Droit Penal,,Article,Franssen V.,"KU Leuven, Leuven, Belgium",,2-s2.0-85120574268,2,Q3,Q3
2-s2.0-85112600733,2021,2021 Jan,Artificial intelligence and sui generis right: A perspective for copyright in ukraine?,,Access to Justice in Eastern Europe,,Note,Liubov M.,"Taras Shevchenko National University of Kyiv, Kyiv, Ukraine",10.33327/AJEE-18-4.3-n000076,2-s2.0-85112600733,4,Q3,Q3
2-s2.0-85109593026,2021,2021 Jan,Can artificial intelligence interprete legal norms? A problem of practical reason,,Cuadernos Electronicos De Filosofia Del Derecho,,Review,Puerto M.R.,"Universidad de Cádiz, Cadiz, Spain",10.7203/CEFD.44.19370,2-s2.0-85109593026,1,Q3,Q3
2-s2.0-85098591746,2021,2021 Jan,Unlocking the potential of AI for English law,,International Journal of the Legal Profession,,Article,Armour J.,"University of Oxford, Oxford, United Kingdom",10.1080/09695958.2020.1857765,2-s2.0-85098591746,11,Q3,Q3
2-s2.0-85103219250,2021,2021 Jan,Legal professionalism in a context of Uberisation,,International Journal of the Legal Profession,,Article,Thornton M.,"The Australian National University, Canberra, Australia",10.1080/09695958.2021.1901715,2-s2.0-85103219250,8,Q3,Q3
2-s2.0-85107534301,2021,2021 Jan,AI Systems in Brazilian Supreme Federal Court and the Colombian Constitutional Court Experiences: Prospective Analysis,,Revista De Direito Estado E Telecomunicacoes,,Article,Calderon-Valencia F.,"Universidad de Medellín, Medellin, Colombia",10.26512/lstr.v13i1.35614,2-s2.0-85107534301,10,Q3,Q3
