stance,q1q2_pct,q1q2_lo,q1q2_hi,q3_pct,q3_lo,q3_hi,delta_pp
Alarm,5.4696,5.1351,5.8281,4.7393,3.5071,5.9716,-0.7303
Caution,25.3478,24.6846,26.0526,21.8009,19.3341,24.2678,-3.5469
Neutral,4.9979,4.6753,5.3205,3.5071,2.4645,4.6445,-1.4908
Cautious Optimism,62.7814,62.0768,63.5041,67.2038,64.2654,69.8602,4.4224
Advocacy,1.4032,1.2241,1.5943,2.7488,1.8009,3.7915,1.3456
Critical (Alarm+Caution),30.8175,30.1306,31.5101,26.5403,23.7915,29.2891,-4.2772
