specialty,n,spearman_rho,p_value,y_2021,y_2026,delta_pp_2021_to_2026
Medical Informatics / Digital Health,4337,-0.4857,0.32872,45.39,43.24,-2.15
Radiology / Diagnostic Imaging,2075,1.0,0.0,15.47,26.14,10.67
Surgery,1442,0.5429,0.2657,16.07,27.89,11.82
Oncology,1424,0.8857,0.01885,8.49,24.88,16.39
Internal Medicine / Primary Care,1117,0.8857,0.01885,10.47,27.07,16.61
Medical Education,1076,0.0286,0.95715,37.04,36.0,-1.04
Dentistry,757,0.8857,0.01885,11.11,24.43,13.32
Ophthalmology,755,-0.1429,0.78717,18.46,17.44,-1.02
