year,tier,critical_pct,ci_lower,ci_upper,n_year
2021,Q1/Q2,25.3998,22.8967,28.1193,1063
2021,Q3,23.0088,15.4545,31.3056,113
2022,Q1/Q2,24.7952,22.5053,27.1001,1343
2022,Q3,19.0476,11.7091,27.0284,105
2023,Q1/Q2,30.3797,28.5221,32.4895,2054
2023,Q3,27.2222,21.2291,33.9181,180
2024,Q1/Q2,33.1892,31.6099,34.628,3700
2024,Q3,34.375,18.5185,50.0,32
2025,Q1/Q2,30.9936,29.7917,32.1976,5898
2025,Q3,28.1324,23.8974,32.4763,423
2026,Q1/Q2,32.6515,30.8143,34.3892,2689
2026,Q3,27.2277,21.1957,33.3333,202
