year,rev_n,rev_year_share_pct,rev_crit_pct,res_n,res_year_share_pct,res_crit_pct,delta_pp
2021,448,8.23,22.77,545,5.28,26.06,-3.29
2022,517,9.5,24.56,724,7.02,23.34,1.22
2023,684,12.56,23.83,1151,11.16,33.19,-9.36
2024,1087,19.97,25.57,2297,22.27,35.74,-10.17
2025,1875,34.44,24.0,3839,37.22,33.47,-9.47
2026,833,15.3,27.97,1759,17.05,33.88,-5.91
