group,point,ci_lower,ci_upper
North America,35.13404555533159,33.90099274358123,36.39172437666948
Western Europe,35.05586592178771,33.61752873108649,36.53610867781832
East Asia,18.52760736196319,17.162122747186118,19.901580355444665
Middle East / North Africa,30.5978898007034,28.444624859306682,32.785888969754055
South/Southeast Asia,24.55242966751918,21.533554209458213,27.7443807274266
Latin America / Oceania,36.83510638297872,33.33333333333333,40.227364310784615
Eastern Europe,28.87537993920973,24.14519559223466,34.42711223203026
Sub-Saharan Africa,45.588235294117645,32.71990171990173,56.52173913043478
Unknown,32.209106239460375,28.399728507547994,36.09386269752803
