group,point,ci_lower,ci_upper
North America,29.055007052186177,27.89055278293124,30.285518289404237
Western Europe,28.002793296089383,26.66103636847899,29.342421456662656
East Asia,15.910484365419988,14.727055309298896,17.15713540377065
Middle East / North Africa,26.56891495601173,24.49622252747253,28.677626885331023
South/Southeast Asia,19.029374201787995,16.468822153954527,21.703405275779378
Latin America / Oceania,30.810092961487385,27.63625048451699,34.18070063158682
Eastern Europe,23.03030303030303,18.428595405936793,27.607457243460765
Sub-Saharan Africa,26.47058823529412,15.787593984962408,36.844129554655865
Unknown,27.48735244519393,23.904020913937753,31.12293446790481
