pub_year,n,pct_gen,pct_disc,pct_gen_sens
2021,64,1.56,18.75,3.12
2022,73,1.37,28.77,2.74
2023,263,57.03,12.17,60.46
2024,637,80.22,9.11,82.42
2025,934,80.3,13.92,83.3
2026,479,78.91,22.13,83.51
