country,n,crit_pct,ci_lower,ci_upper
Hong Kong,95,31.58,21.05,41.05
Singapore,179,26.82,20.67,33.52
Taiwan,169,21.3,15.38,27.22
South Korea,487,20.33,16.63,24.23
Japan,424,19.58,15.8,23.58
China,1903,16.13,14.5,17.76
