pub_year,stance,point,ci_lower,ci_upper
2021,Alarm,2.161654135338346,1.381088752597699,3.041756011885223
2021,Caution,16.917293233082706,14.702809450188425,19.210267808331512
2021,Neutral,23.778195488721803,21.238760820013397,26.289847883597886
2021,Cautious Optimism,55.545112781954884,52.35775066402873,58.53499025044693
2021,Advocacy,1.5977443609022555,0.9266559324857032,2.378595023475684
2022,Alarm,1.8601190476190477,1.1643566862856785,2.5962219588433584
2022,Caution,17.708333333333336,15.601898751987395,19.80512894472639
2022,Neutral,22.916666666666664,20.72226770770181,25.038824120705407
2022,Cautious Optimism,56.324404761904766,53.713418891853465,59.13908487766452
2022,Advocacy,1.1904761904761905,0.6597998952353555,1.8054817336939928
2023,Alarm,2.872444011684518,2.1599770773554274,3.6373152691242856
2023,Caution,22.444011684518014,20.66264162800083,24.163250983455843
2023,Neutral,20.74001947419669,18.983732462506048,22.434166665469316
2023,Cautious Optimism,52.336903602726395,50.21798983873823,54.361239580791086
2023,Advocacy,1.6066212268743916,1.0616866866866868,2.150616582192538
2024,Alarm,4.321988114532685,3.6733438824270364,5.002786178612035
2024,Caution,23.797947055645597,22.403065019315555,25.197559284251398
2024,Neutral,16.450567260940034,15.265577020593291,17.66759264544549
2024,Cautious Optimism,53.99783900594274,52.368834031051684,55.64371695569282
2024,Advocacy,1.431658562938952,1.0623292352196299,1.8265245098955314
2025,Alarm,3.6107814883878624,3.1187148346699556,4.103798984558301
2025,Caution,21.647736904560094,20.669697918160278,22.689386542823197
2025,Neutral,15.324631293439566,14.410509625103654,16.199699531067456
2025,Cautious Optimism,58.48448889642312,57.169588005214145,59.758208117341105
2025,Advocacy,0.9323614171893542,0.6872017443336508,1.1640879541833717
2026,Alarm,4.014869888475837,3.3159954998333276,4.783127271506391
2026,Caution,23.42007434944238,21.97711680024468,25.056584938732477
2026,Neutral,15.390334572490708,14.02627040018095,16.811560237693346
2026,Cautious Optimism,56.69144981412639,54.78496455207364,58.53245051786033
2026,Advocacy,0.483271375464684,0.22950488555518894,0.7294145749498891
