group,point,ci_lower,ci_upper
Radiology / Diagnostic Imaging,21.253012048192772,19.55327468230694,22.876225766986636
Pathology / Laboratory Medicine,20.74235807860262,17.099044214212753,24.429965012156792
Cardiology,16.798732171156892,14.123132138945392,19.80833687390832
Oncology,19.662921348314608,17.837265359728363,21.776600488900634
Surgery,28.918169209431344,26.670203840285662,31.383419874820376
Ophthalmology,18.41059602649007,15.664031620553361,21.249046367720606
Dermatology,36.544850498338874,31.26646842899013,42.85928785928785
Neurology / Neuroscience,24.43820224719101,20.342489929820193,28.833914559721006
Mental Health / Psychiatry,51.340206185567006,46.781999794047984,55.51290463692039
Internal Medicine / Primary Care,22.470904207699192,20.016539440203562,24.952758621903524
Emergency Medicine / Critical Care,28.455284552845526,23.86058981233244,33.06701714985708
Pediatrics,25.510204081632654,21.428571428571427,29.97413793103448
Obstetrics / Gynecology,26.69491525423729,20.719944082013047,32.35492845786963
Dentistry,24.834874504623514,21.933409593337103,28.121375405269646
Medical Informatics / Digital Health,44.93889785566059,43.4872000833869,46.363155937272246
Nursing,42.955326460481096,37.04771570995427,48.840237403100765
Medical Education,35.130111524163574,32.43737963004434,38.013013368641055
Multidisciplinary / Other,32.758620689655174,26.989887663151087,38.56634401545809
