pub_year,n,hallu_n,safety_n,both_n,hallu_pct,safety_pct,both_pct
2021,270,64,160,58,23.703703703703706,59.25925925925925,21.48148148148148
2022,333,73,210,66,21.92192192192192,63.06306306306306,19.81981981981982
2023,624,263,385,206,42.1474358974359,61.69871794871795,33.01282051282051
2024,1228,637,813,518,51.872964169381106,66.20521172638436,42.18241042345277
2025,1828,934,1187,773,51.09409190371991,64.93435448577681,42.286652078774615
2026,878,479,617,420,54.55580865603644,70.27334851936219,47.83599088838269
