pub_year,n_alarm,n_generative,gen_share,gen_share_lo,gen_share_hi,confab_strict,confab_strict_lo,confab_strict_hi,confab_broad,confab_broad_lo,confab_broad_hi,confab_among_gen,confab_among_gen_lo,confab_among_gen_hi
2021,29,4,13.793103448275861,3.4482758620689653,27.586206896551722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,35,1,2.857142857142857,0.0,8.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,96,43,44.79166666666667,35.41666666666667,54.19270833333331,9.375,4.166666666666666,15.625,11.458333333333332,6.25,17.708333333333336,25.581395348837212,13.953488372093023,39.53488372093023
2024,253,201,79.44664031620553,73.91304347826086,84.18972332015811,10.276679841897234,6.719367588932807,14.229249011857709,16.99604743083004,12.648221343873518,21.34387351778656,21.393034825870647,15.422885572139302,27.363184079601986
2025,335,277,82.68656716417911,78.50746268656717,86.86567164179104,8.358208955223882,5.6716417910447765,11.343283582089553,16.119402985074625,12.238805970149254,20.298507462686565,19.494584837545126,14.801444043321299,24.187725631768952
2026,167,141,84.4311377245509,79.04191616766467,89.82035928143712,10.179640718562874,5.9880239520958085,14.97005988023952,14.97005988023952,10.179640718562874,20.35928143712575,17.73049645390071,11.347517730496454,24.822695035460992
