pub_year,theme,point,ci_lower,ci_upper
2021,safety_clinical,59.25925925925925,52.983440461923955,65.0566407570125
2021,hallucination,23.703703703703706,19.163392393802358,28.920548322024576
2021,regulation,54.81481481481482,48.76280760413897,60.357473544973544
2021,ethics_bias,36.666666666666664,30.88225347349435,42.647955523672884
2021,education,3.7037037037037033,1.5442530442530444,5.993640025439897
2021,data_privacy,8.88888888888889,5.639097744360902,12.196151075434804
2021,cognitive,7.777777777777778,4.693140794223827,11.152452101801543
2021,existential,6.666666666666667,3.9285714285714284,9.936359831605897
2021,replacement,6.296296296296296,3.4479468281126615,9.398496240601503
2021,other,4.814814814814815,2.3713080825371136,7.570592156090466
2022,safety_clinical,63.06306306306306,57.67974869237956,68.30325995428846
2022,hallucination,21.92192192192192,17.377351504193275,26.5061977014687
2022,regulation,55.85585585585585,50.73417806382409,60.991101505150226
2022,ethics_bias,45.34534534534534,40.54799201009252,50.47067893355661
2022,education,1.8018018018018018,0.5952380952380952,3.3554868551021944
2022,data_privacy,8.408408408408409,5.551801801801805,11.55211133696151
2022,cognitive,5.7057057057057055,3.3891183592080907,8.108718658417454
2022,existential,4.2042042042042045,2.1796884255419973,6.514835009205495
2022,replacement,5.105105105105105,2.786377708978328,7.5305467151625365
2022,other,4.504504504504505,2.3528424792735887,6.8330593106807935
2023,safety_clinical,61.69871794871795,57.95575775316713,65.31335086633663
2023,hallucination,42.1474358974359,38.26666878333757,46.254977934222964
2023,regulation,41.506410256410255,37.606699081577524,45.21601817193914
2023,ethics_bias,36.217948717948715,32.60097273998136,39.848336106489185
2023,education,9.294871794871796,6.919104305377356,11.490772470907404
2023,data_privacy,6.570512820512821,4.8189874884152,8.532478167438844
2023,cognitive,5.6089743589743595,3.827477263596187,7.432434426977387
2023,existential,5.929487179487179,4.220656030310331,7.877912502177942
2023,replacement,4.326923076923077,2.7726330212248755,5.892857142857142
2023,other,2.2435897435897436,1.2068446198587452,3.4645669291338583
2024,safety_clinical,66.20521172638436,63.65143899351846,68.76105449789614
2024,hallucination,51.872964169381106,49.16509305137003,54.375349612736656
2024,regulation,34.20195439739413,31.374026270732976,36.686907145129
2024,ethics_bias,32.81758957654723,30.253046905247896,35.46043435419746
2024,education,8.387622149837133,6.901874935965302,9.976459907495887
2024,data_privacy,6.840390879478828,5.392906892105099,8.166577816708813
2024,cognitive,4.804560260586319,3.6435758513931886,6.084884354852303
2024,existential,3.175895765472313,2.2506483131414696,4.234664495114006
2024,replacement,4.071661237785016,3.0768927444794953,5.188698672717665
2024,other,1.710097719869707,1.058545993908372,2.4233123025507277
2025,safety_clinical,64.93435448577681,62.65528731036321,67.13604285735168
2025,hallucination,51.09409190371991,48.750764952057125,53.32594235033259
2025,regulation,31.72866520787746,29.64172048601609,33.802874404839486
2025,ethics_bias,33.04157549234136,30.82910740959243,35.28789040045986
2025,education,10.393873085339168,9.039788526558599,11.8431109045348
2025,data_privacy,8.096280087527353,6.821656145695129,9.38026812978911
2025,cognitive,6.564551422319474,5.458990383201483,7.738774023233207
2025,existential,5.579868708971554,4.55495469161064,6.615697522344407
2025,replacement,3.282275711159737,2.5,4.11938167876662
2025,other,1.6958424507658645,1.0969282002475338,2.3344825449653026
2026,safety_clinical,70.27334851936219,67.20526841043754,73.28937934042216
2026,hallucination,54.55580865603644,51.43176239567992,57.64873548116244
2026,regulation,32.80182232346242,29.59997641509434,36.005762350086755
2026,ethics_bias,28.5876993166287,25.597148310499325,31.59647157551121
2026,education,9.681093394077449,7.735410524490251,11.601209269233083
2026,data_privacy,6.150341685649203,4.6484633676479445,7.823629451780712
2026,cognitive,6.719817767653759,5.137242196388397,8.333333333333332
2026,existential,5.239179954441914,3.7842952961947103,6.7506530962245055
2026,replacement,2.9612756264236904,1.9058029041212898,4.128535142922132
2026,other,1.9362186788154898,1.0379727956091158,2.8572279925080877
