pub_year,n_discourse,n_evaluative,discourse_to_evaluative_ratio
2021,735,328,2.2408536585365852
2022,863,480,1.7979166666666666
2023,1267,787,1.6099110546378652
2024,1901,1799,1.056698165647582
2025,2867,3031,0.9458924447377103
2026,1261,1428,0.8830532212885154
