specialty,n_papers,critical_rate_pct,fda_device_count
Oncology,1424,19.662921348314608,0.0
Dermatology,301,36.544850498338874,0.0
Mental Health / Psychiatry,485,51.340206185567006,0.0
Pediatrics,392,25.510204081632654,0.0
Medical Informatics / Digital Health,4337,44.93889785566059,0.0
Nursing,291,42.955326460481096,0.0
Medical Education,1076,35.130111524163574,0.0
