set,n_specialties,spearman_rho,p_two_sided,structural_zeros_dropped,inverse_gradient
full,18,-0.6467616667635546,0.0037225275614379346,0,True
drop_structural_zeros,11,-0.5785892004243207,0.06220729541054294,7,True
