pub_year,n_kept,n_eligible_denominator,keep_rate_pct
2021,1064,11191,9.507640067911714
2022,1344,13136,10.23142509135201
2023,2055,14128,14.545583238958098
2024,3704,19372,19.12037992979558
2025,5899,28873,20.430852353409758
2026,2691,10757,25.016268476340986
