year,corpus,total,Alarm,Caution,Neutral,Cautious Optimism,Advocacy,critical_pct,alarm_pct
2021,Q1/Q2,975,23,189,258,487,18,21.74,2.36
2021,Q3,113,4,19,29,54,7,20.35,3.54
2022,Q1/Q2,1197,21,241,385,527,23,21.89,1.75
2022,Q3,105,1,9,29,58,8,9.52,0.95
2023,Q1/Q2,2058,71,449,591,894,53,25.27,3.45
2023,Q3,180,1,28,63,77,11,16.11,0.56
2024,Q1/Q2,456,11,95,130,207,13,23.25,2.41
2024,Q3,32,3,3,12,14,0,18.75,9.38
2025,Q1/Q2,5875,201,1092,1813,2663,106,22.01,3.42
2025,Q3,423,11,71,125,200,16,19.39,2.6
