year,total,Alarm,Alarm_pct,Caution,Caution_pct,Neutral,Neutral_pct,Cautious Optimism,Cautious Optimism_pct,Advocacy,Advocacy_pct,critical_pct
2021,975,23,2.36,189,19.38,258,26.46,487,49.95,18,1.85,21.74
2022,1197,21,1.75,241,20.13,385,32.16,527,44.03,23,1.92,21.89
2023,2058,71,3.45,449,21.82,591,28.72,894,43.44,53,2.58,25.27
2024,456,11,2.41,95,20.83,130,28.51,207,45.39,13,2.85,23.25
2025,5875,201,3.42,1092,18.59,1813,30.86,2663,45.33,106,1.8,22.01
2026,2772,114,4.11,514,18.54,915,33.01,1190,42.93,39,1.41,22.66
