age_category,total,Alarm,Caution,Neutral,Cautious Optimism,Advocacy,critical_pct,alarm_pct
0-6m (current),94,4,22,23,42,3,27.66,4.26
7-12m (recent),295,28,62,82,109,14,30.51,9.49
13-24m (aging),626,29,82,246,261,8,17.73,4.63
25m+ (obsolete),2581,187,347,1176,866,5,20.69,7.25
unknown,9740,193,2067,2566,4692,222,23.2,1.98
