year,total_records,predictive_claims,predictive_pct,pred_Alarm,pred_Caution,pred_Neutral,pred_Cautious Optimism,pred_Advocacy
2021,975,389,39.9,2,49,6,318,14
2022,1197,450,37.59,1,76,9,341,23
2023,2058,855,41.55,4,146,12,641,52
2024,456,187,41.01,2,29,3,141,12
2025,5875,2221,37.8,6,317,22,1773,103
2026,2772,946,34.13,6,140,12,749,39
